table_name,time_predic,activeIKWH
GenDistGridTotal,2024-03-06 01:30:00,0.0
GenDistGridTotal,2024-03-06 02:00:00,0.0
GenDistGridTotal,2024-03-06 02:30:00,0.0
GenDistGridTotal,2024-03-06 03:00:00,0.0
GenDistGridTotal,2024-03-06 03:30:00,0.0
GenDistGridTotal,2024-03-06 04:00:00,0.0
GenDistGridTotal,2024-03-06 04:30:00,0.0
GenDistGridTotal,2024-03-06 05:00:00,0.0
GenDistGridTotal,2024-03-06 05:30:00,0.0
GenDistGridTotal,2024-03-06 06:00:00,0.0
GenDistGridTotal,2024-03-06 06:30:00,0.0
GenDistGridTotal,2024-03-06 07:00:00,0.0
GenDistGridTotal,2024-03-06 07:30:00,0.0
GenDistGridTotal,2024-03-06 08:00:00,0.0
GenDistGridTotal,2024-03-06 08:30:00,0.0
GenDistGridTotal,2024-03-06 09:00:00,0.0
GenDistGridTotal,2024-03-06 09:30:00,0.0
GenDistGridTotal,2024-03-06 10:00:00,0.0
GenDistGridTotal,2024-03-06 10:30:00,0.0
GenDistGridTotal,2024-03-06 11:00:00,0.0
GenDistGridTotal,2024-03-06 11:30:00,0.0
GenDistGridTotal,2024-03-06 12:00:00,0.0
GenDistGridTotal,2024-03-06 12:30:00,0.0
GenDistGridTotal,2024-03-06 13:00:00,0.0
GenDistGridTotal,2024-03-06 13:30:00,0.0
GenDistGridTotal,2024-03-06 14:00:00,0.0
GenDistGridTotal,2024-03-06 14:30:00,0.0
GenDistGridTotal,2024-03-06 15:00:00,0.0
GenDistGridTotal,2024-03-06 15:30:00,0.0
GenDistGridTotal,2024-03-06 16:00:00,0.0
GenDistGridTotal,2024-03-06 16:30:00,0.0
GenDistGridTotal,2024-03-06 17:00:00,0.0
GenDistGridTotal,2024-03-06 17:30:00,0.0
GenDistGridTotal,2024-03-06 18:00:00,0.0
GenDistGridTotal,2024-03-06 18:30:00,0.0
GenDistGridTotal,2024-03-06 19:00:00,0.0
GenDistGridTotal,2024-03-06 19:30:00,0.0
GenDistGridTotal,2024-03-06 20:00:00,0.0
GenDistGridTotal,2024-03-06 20:30:00,0.0
GenDistGridTotal,2024-03-06 21:00:00,0.0
GenDistGridTotal,2024-03-06 21:30:00,0.0
GenDistGridTotal,2024-03-06 22:00:00,0.0
GenDistGridTotal,2024-03-06 22:30:00,0.0
GenDistGridTotal,2024-03-06 23:00:00,0.0
GenDistGridTotal,2024-03-06 23:30:00,0.0
ConsPlanGRID,2024-03-05 02:00:00,2.5
ConsPlanGRID,2024-03-05 02:30:00,2.49
ConsPlanGRID,2024-03-05 03:00:00,2.5
ConsPlanGRID,2024-03-05 03:30:00,2.49
ConsPlanGRID,2024-03-05 04:00:00,2.48
ConsPlanGRID,2024-03-05 04:30:00,2.51
ConsPlanGRID,2024-03-05 05:00:00,2.53
ConsPlanGRID,2024-03-05 05:30:00,2.57
ConsPlanGRID,2024-03-05 06:00:00,2.5
ConsPlanGRID,2024-03-05 06:30:00,2.2
ConsPlanGRID,2024-03-05 07:00:00,1.71
ConsPlanGRID,2024-03-05 07:30:00,1.56
ConsPlanGRID,2024-03-05 08:00:00,1.3
ConsPlanGRID,2024-03-05 08:30:00,0.42
ConsPlanGRID,2024-03-05 09:00:00,0.44
ConsPlanGRID,2024-03-05 09:30:00,0.39
ConsPlanGRID,2024-03-05 10:00:00,0.17
ConsPlanGRID,2024-03-05 10:30:00,0.13
ConsPlanGRID,2024-03-05 11:00:00,0.16
ConsPlanGRID,2024-03-05 11:30:00,0.17
ConsPlanGRID,2024-03-05 12:00:00,0.27
ConsPlanGRID,2024-03-05 12:30:00,0.43
ConsPlanGRID,2024-03-05 13:00:00,0.25
ConsPlanGRID,2024-03-05 13:30:00,0.22
ConsPlanGRID,2024-03-05 14:00:00,0.26
ConsPlanGRID,2024-03-05 14:30:00,0.16
ConsPlanGRID,2024-03-05 15:00:00,0.27
ConsPlanGRID,2024-03-05 15:30:00,0.53
ConsPlanGRID,2024-03-05 16:00:00,1.25
ConsPlanGRID,2024-03-05 16:30:00,1.57
ConsPlanGRID,2024-03-05 17:00:00,0.2
ConsPlanGRID,2024-03-05 17:30:00,0.21
ConsPlanGRID,2024-03-05 18:00:00,0.21
ConsPlanGRID,2024-03-05 18:30:00,0.21
ConsPlanGRID,2024-03-05 19:00:00,0.21
ConsPlanGRID,2024-03-05 19:30:00,0.21
ConsPlanGRID,2024-03-05 20:00:00,0.28
ConsPlanGRID,2024-03-05 20:30:00,0.34
ConsPlanGRID,2024-03-05 21:00:00,0.35
ConsPlanGRID,2024-03-05 21:30:00,0.36
ConsPlanGRID,2024-03-05 22:00:00,1.35
ConsPlanGRID,2024-03-05 22:30:00,2.5
ConsPlanGRID,2024-03-05 23:00:00,2.7
ConsPlanGRID,2024-03-05 23:30:00,2.67
ConsPlanGRID,2024-03-06 00:00:00,2.63
ConsPlanGRID,2024-03-06 00:30:00,2.61
ConsPlanGRID,2024-03-06 01:00:00,2.56
ConsPlanGRID,2024-03-06 01:30:00,2.53
ConsPlanGRID,2024-03-06 02:00:00,3.78
ConsPlanGRID,2024-03-06 02:30:00,2.51
ConsPlanGRID,2024-03-06 03:00:00,2.53
ConsPlanGRID,2024-03-06 03:30:00,2.53
ConsPlanGRID,2024-03-06 04:00:00,2.55
ConsPlanGRID,2024-03-06 04:30:00,2.58
ConsPlanGRID,2024-03-06 05:00:00,2.61
ConsPlanGRID,2024-03-06 05:30:00,2.7
ConsPlanGRID,2024-03-06 06:00:00,2.76
ConsPlanGRID,2024-03-06 06:30:00,2.49
ConsPlanGRID,2024-03-06 07:00:00,1.76
ConsPlanGRID,2024-03-06 07:30:00,1.13
ConsPlanGRID,2024-03-06 08:00:00,0.68
ConsPlanGRID,2024-03-06 08:30:00,0.48
ConsPlanGRID,2024-03-06 09:00:00,0.36
ConsPlanGRID,2024-03-06 09:30:00,0.33
ConsPlanGRID,2024-03-06 10:00:00,0.27
